City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
539,Gizo,SB,84.13,broken clouds,-8.103,156.8419,Imagination Island
540,Gilbues,BR,79.16,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
541,Barreirinhas,BR,76.26,broken clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
542,Biratnagar,NP,75.15,overcast clouds,26.4831,87.2834,HOTEL SHUVA
546,Kutum,SD,78.6,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
547,Sibolga,ID,76.6,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
548,Madang,PG,81.43,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
549,Puerto Colombia,CO,84.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
550,Palera,IN,88.59,clear sky,25.0167,79.2333,Gupta's house
551,Qom,IR,67.98,broken clouds,34.6401,50.8764,Qom Hotel
553,Sao Joao Do Paraiso,BR,71.74,broken clouds,-15.3136,-42.0144,Avenida Palace Hotel
554,Dembi Dolo,ET,60.58,overcast clouds,8.5333,34.8,Dembi dollo plaza
558,Abong Mbang,CM,68.56,light rain,3.9833,13.1833,Auberge Angle Sur
559,Charagua,BO,70.65,few clouds,-19.8,-63.2167,Hotel
561,Chilmari,BD,72.14,overcast clouds,25.5559,89.6715,Wadud mondol Vila
564,Corpus Christi,US,84.43,scattered clouds,27.8006,-97.3964,"Holiday Inn Corpus Christi Downtown Marina, an IHG Hotel"
565,Monrovia,LR,81.5,broken clouds,6.3005,-10.7969,Sunset Inn
566,Bubaque,GW,77.09,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
567,Ramganj Mandi,IN,87.62,clear sky,24.65,75.9333,Kota Stone Mandana
569,Innisfail,AU,75.52,light rain,-17.5333,146.0333,Moondarra Motel
571,Tateyama,JP,60.17,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
572,Berbera,SO,83.88,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
574,Morgan City,US,84.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
576,Baloda Bazar,IN,88.36,scattered clouds,21.6667,82.1667,STARiHOTELS Baloda Bazaar
577,Jasper,US,69.24,few clouds,37.2001,-94.3502,Guest House Motel
578,Labrea,BR,75.96,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
579,Vila Nova De Milfontes,PT,60.26,few clouds,37.7238,-8.7828,Casazul
582,San Lawrenz,MT,60.85,broken clouds,36.0553,14.204,San Andrea Hotel
587,Prince George,CA,61.25,clear sky,53.9166,-122.753,Canadas Best Value Inn Prince George
588,Rupert,US,60.75,broken clouds,42.6191,-113.6772,Uptown Motel
594,Kendrapara,IN,78.17,scattered clouds,20.5042,86.416,Hotel Mayuri Palace
597,Almeirim,BR,75.36,broken clouds,-1.5233,-52.5817,Ricácio Hotel
598,Kalabo,ZM,60.73,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
599,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
600,Caucaia,BR,80.55,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
601,Peniche,PT,60.3,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
