City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Berezovyy,RU,2022-04-30 23:19:32,51.6667,135.7,36.01,74,100,5.08,overcast clouds
150,Ulundi,ZA,2022-04-30 23:19:34,-28.3352,31.4162,58.35,81,29,4.97,scattered clouds
151,Kungurtug,RU,2022-04-30 23:19:34,50.5994,97.5228,38.98,62,80,2.04,broken clouds
152,Nanortalik,GL,2022-04-30 23:19:35,60.1432,-45.2371,36.45,88,99,3.02,overcast clouds
153,Deputatskiy,RU,2022-04-30 23:15:55,69.3,139.9,18.32,79,22,3.18,few clouds
154,Qaanaaq,GL,2022-04-30 23:19:36,77.484,-69.3632,10.83,79,66,3.83,broken clouds
155,Provideniya,RU,2022-04-30 23:19:37,64.3833,-173.3,32.18,87,100,16.91,light snow
156,Cidreira,BR,2022-04-30 23:19:38,-30.1811,-50.2056,66.72,72,100,9.62,light rain
157,Torbay,CA,2022-04-30 23:19:38,47.6666,-52.7314,43.75,96,100,8.05,light rain
158,Karlivka,UA,2022-04-30 23:19:39,49.4567,35.1295,45.5,73,64,5.95,broken clouds
159,Sao Jose Da Coroa Grande,BR,2022-04-30 23:19:39,-8.8978,-35.1478,77.38,81,100,9.28,overcast clouds
160,Tasiilaq,GL,2022-04-30 23:19:39,65.6145,-37.6368,33.96,68,32,2.46,scattered clouds
161,Geraldton,AU,2022-04-30 23:19:40,-28.7667,114.6,54.01,76,0,11.5,clear sky
162,Talakan,RU,2022-04-30 23:19:41,50.3167,130.3667,45.9,53,99,2.77,overcast clouds
163,Longuenesse,FR,2022-04-30 23:19:41,50.734,2.2352,43.41,91,72,2.1,broken clouds
164,Timmins,CA,2022-04-30 23:19:41,48.4669,-81.3331,57.02,18,40,14.97,scattered clouds
165,Sinegorye,RU,2022-04-30 23:19:42,62.0788,150.477,28.33,86,59,1.88,broken clouds
166,Pogranichnyy,RU,2022-04-30 23:19:43,44.4064,131.3769,38.44,89,93,8.41,overcast clouds
167,Ribeira Grande,PT,2022-04-30 23:19:43,38.5167,-28.7,62.42,83,46,5.99,scattered clouds
168,Ponta Do Sol,PT,2022-04-30 23:19:44,32.6667,-17.1,66.83,65,0,2.95,clear sky
169,Torata,PE,2022-04-30 23:19:44,-17.0769,-70.8433,61.83,46,4,2.66,clear sky
170,Cabo San Lucas,MX,2022-04-30 23:19:44,22.8909,-109.9124,84.61,36,40,9.22,scattered clouds
171,Mendi,PG,2022-04-30 23:19:46,-6.1761,143.6513,64.83,65,96,0.27,overcast clouds
172,Kahului,US,2022-04-30 23:19:46,20.8947,-156.47,80.62,68,40,19.57,scattered clouds
173,Kodiak,US,2022-04-30 23:19:46,57.79,-152.4072,40.51,87,100,31.07,mist
174,Varhaug,NO,2022-04-30 23:19:47,58.6147,5.6457,44.15,86,75,13.22,broken clouds
175,Port Blair,IN,2022-04-30 23:19:47,11.6667,92.75,82.08,73,82,2.95,broken clouds
176,Half Moon Bay,US,2022-04-30 23:19:48,37.4636,-122.4286,71.67,75,100,20.71,mist
177,Taoudenni,ML,2022-04-30 23:19:48,22.6783,-3.9836,80.33,19,0,15.7,clear sky
178,San Patricio,US,2022-04-30 23:19:48,28.017,-97.5169,86.72,59,50,17.25,scattered clouds
179,Gimli,CA,2022-04-30 23:19:49,50.6336,-96.9907,37.42,100,100,18.41,moderate rain
180,Makkaveyevo,RU,2022-04-30 23:19:49,51.7533,113.9454,41.56,84,63,2.15,broken clouds
181,Mangrol,IN,2022-04-30 23:19:50,21.1167,70.1167,81.72,87,0,9.73,clear sky
182,Brigantine,US,2022-04-30 23:17:46,39.4101,-74.3646,59.2,68,0,12.66,clear sky
183,Adrar,MR,2022-04-30 23:19:50,20.5022,-10.0711,79.84,11,0,8.86,clear sky
184,Qeshm,IR,2022-04-30 23:19:51,26.9581,56.2719,80.49,70,0,17.49,clear sky
185,Cherskiy,RU,2022-04-30 23:14:58,68.75,161.3,20.39,83,91,8.25,overcast clouds
186,Tombouctou,ML,2022-04-30 23:19:52,20.0,-3.0,80.31,12,0,11.14,clear sky
187,Bengkulu,ID,2022-04-30 23:19:53,-3.8004,102.2655,74.84,93,94,5.64,moderate rain
188,Katsuura,JP,2022-04-30 23:19:53,35.1333,140.3,59.77,73,100,13.62,overcast clouds
189,Kruisfontein,ZA,2022-04-30 23:19:54,-34.0033,24.7314,52.88,77,6,6.89,clear sky
190,Pathein,MM,2022-04-30 23:19:54,16.7833,94.7333,78.55,86,23,4.59,few clouds
191,Saskylakh,RU,2022-04-30 23:15:59,71.9167,114.0833,8.17,88,100,16.08,overcast clouds
192,Namatanai,PG,2022-04-30 23:20:31,-3.6667,152.4333,83.39,69,88,2.44,overcast clouds
193,Darhan,MN,2022-04-30 23:20:31,49.4867,105.9228,50.61,45,82,4.38,broken clouds
194,Broken Hill,AU,2022-04-30 23:20:32,-31.95,141.4333,58.71,63,0,5.75,clear sky
195,Manaus,BR,2022-04-30 23:16:57,-3.1019,-60.025,81.09,89,0,4.61,clear sky
196,San Quintin,MX,2022-04-30 23:20:33,30.4833,-115.95,65.7,66,85,12.64,overcast clouds
197,Sechura,PE,2022-04-30 23:20:33,-5.5569,-80.8222,75.16,63,93,17.98,overcast clouds
198,Jardim,BR,2022-04-30 23:20:33,-21.4803,-56.1381,80.96,44,81,4.43,broken clouds
199,Linjiang,CN,2022-04-30 23:20:37,41.8069,126.9078,42.98,63,54,2.82,broken clouds
200,Ginir,ET,2022-04-30 23:18:11,7.1333,40.7,57.31,88,58,5.26,light rain
201,Sahuaripa,MX,2022-04-30 23:20:39,29.05,-109.2333,96.01,5,49,12.53,scattered clouds
202,Wuwei,CN,2022-04-30 23:20:39,37.9281,102.6414,43.75,44,94,2.77,overcast clouds
203,Bella Union,UY,2022-04-30 23:20:40,-30.2752,-57.6007,57.18,70,99,8.21,overcast clouds
204,Bailleul,FR,2022-04-30 23:16:14,50.7359,2.7359,43.57,85,48,3.94,scattered clouds
205,Queanbeyan,AU,2022-04-30 23:20:41,-35.35,149.2333,53.19,85,0,2.3,clear sky
206,Kichmengskiy Gorodok,RU,2022-04-30 23:20:41,59.9816,45.7854,23.99,90,14,4.63,few clouds
207,Muskegon,US,2022-04-30 23:20:42,43.3,-86.1334,58.01,46,75,26.46,broken clouds
208,Saint-Joseph,RE,2022-04-30 23:20:42,-21.3667,55.6167,73.78,78,20,5.93,few clouds
209,Weinsberg,DE,2022-04-30 23:20:43,49.1503,9.2883,51.28,100,100,2.8,overcast clouds
210,Okhotsk,RU,2022-04-30 23:20:44,59.3833,143.3,35.71,80,33,8.25,scattered clouds
211,Kigorobya,UG,2022-04-30 23:20:44,1.6162,31.3089,66.25,88,74,2.68,light rain
212,Manaure,CO,2022-04-30 23:20:44,11.7751,-72.4445,85.82,68,100,5.97,overcast clouds
213,Ngunguru,NZ,2022-04-30 23:20:45,-35.6167,174.5,65.46,70,23,9.48,few clouds
214,Hermanus,ZA,2022-04-30 23:20:45,-34.4187,19.2345,57.87,86,44,4.09,scattered clouds
215,Kavaratti,IN,2022-04-30 23:20:45,10.5669,72.642,84.63,74,29,11.39,scattered clouds
216,Vestmannaeyjar,IS,2022-04-30 23:20:46,63.4427,-20.2734,46.18,86,38,15.3,scattered clouds
217,Hamilton,US,2022-04-30 23:20:46,39.1834,-84.5333,72.75,71,0,14.97,clear sky
218,Dimovo,BG,2022-04-30 23:20:46,43.7417,22.7269,45.84,85,1,4.32,clear sky
219,Beringovskiy,RU,2022-04-30 23:20:47,63.05,179.3167,25.88,90,100,18.59,light snow
220,Srivardhan,IN,2022-04-30 23:20:47,18.0333,73.0167,79.97,81,0,3.38,clear sky
221,Dauriya,RU,2022-04-30 23:20:48,49.9333,116.8667,41.58,34,100,6.51,overcast clouds
222,Sioux Lookout,CA,2022-04-30 23:20:48,50.1001,-91.917,50.07,27,100,10.36,overcast clouds
223,Tura,IN,2022-04-30 23:20:49,25.5198,90.2201,67.37,92,84,2.68,broken clouds
224,Richards Bay,ZA,2022-04-30 23:20:49,-28.783,32.0377,63.75,82,4,9.62,clear sky
225,Taveta,KE,2022-04-30 23:20:49,-3.3963,37.6736,68.58,90,96,3.69,overcast clouds
226,Obzor,BG,2022-04-30 23:20:50,42.8167,27.8833,46.62,84,7,10.2,clear sky
227,Talnakh,RU,2022-04-30 23:20:50,69.4865,88.3972,20.21,96,100,10.96,overcast clouds
228,Tuatapere,NZ,2022-04-30 23:20:51,-46.1333,167.6833,55.08,96,100,2.89,moderate rain
229,Paamiut,GL,2022-04-30 23:20:51,61.994,-49.6678,32.95,95,86,13.82,overcast clouds
230,Russell,US,2022-04-30 23:20:51,32.3502,-85.1999,73.9,78,40,3.44,scattered clouds
231,Senj,HR,2022-04-30 23:20:53,44.9894,14.9058,61.47,83,9,7.65,clear sky
232,Paita,PE,2022-04-30 23:20:53,-5.0892,-81.1144,70.02,79,87,16.51,overcast clouds
233,Udachnyy,RU,2022-04-30 23:20:53,66.4167,112.4,16.45,78,100,20.24,overcast clouds
234,Mareeba,AU,2022-04-30 23:20:54,-17.0,145.4333,72.48,86,69,4.83,broken clouds
235,Ozernovskiy,RU,2022-04-30 23:20:54,51.5,156.5167,37.06,69,24,8.55,few clouds
236,Hasaki,JP,2022-04-30 23:20:54,35.7333,140.8333,57.6,63,100,16.26,overcast clouds
237,Mariental,NA,2022-04-30 23:20:55,-24.6333,17.9667,59.38,28,0,8.75,clear sky
238,Markova,UA,2022-04-30 23:20:55,48.6758,24.4138,42.33,82,60,3.69,broken clouds
239,Nouadhibou,MR,2022-04-30 23:20:55,20.931,-17.0347,64.38,88,99,17.27,sand
240,Longyearbyen,SJ,2022-04-30 23:17:58,78.2186,15.6401,10.24,61,0,5.75,clear sky
241,Virginia Beach,US,2022-04-30 23:20:56,36.8529,-75.978,61.05,68,75,5.75,broken clouds
242,Banda Aceh,ID,2022-04-30 23:20:56,5.5577,95.3222,80.8,82,100,7.18,overcast clouds
243,Lubao,PH,2022-04-30 23:20:57,14.9167,120.55,87.51,74,85,4.05,overcast clouds
244,Ust-Kuyga,RU,2022-04-30 23:19:02,70.0167,135.6,23.68,85,71,9.24,broken clouds
245,Belmonte,BR,2022-04-30 23:20:58,-15.8631,-38.8828,75.47,82,10,6.31,clear sky
246,Los Llanos De Aridane,ES,2022-04-30 23:20:58,28.6585,-17.9182,62.35,88,0,13.8,clear sky
247,Severo-Kurilsk,RU,2022-04-30 23:20:58,50.6789,156.125,35.65,91,94,11.03,overcast clouds
248,Bathsheba,BB,2022-04-30 23:20:59,13.2167,-59.5167,81.21,83,40,13.8,scattered clouds
249,Fairbanks,US,2022-04-30 23:20:01,64.8378,-147.7164,54.99,29,0,16.11,clear sky
250,Horadiz,AZ,2022-04-30 23:20:59,39.4488,47.3353,59.77,76,74,2.73,broken clouds
251,Eyl,SO,2022-04-30 23:21:00,7.9803,49.8164,83.3,77,45,5.21,scattered clouds
252,Grand Gaube,MU,2022-04-30 23:21:00,-20.0064,57.6608,77.4,81,15,1.99,few clouds
253,Ilulissat,GL,2022-04-30 23:21:00,69.2167,-51.1,24.82,39,5,11.5,clear sky
254,Shahr-E Kord,IR,2022-04-30 23:21:01,32.3256,50.8644,37.17,100,0,2.3,clear sky
255,Broome,US,2022-04-30 23:21:01,42.2506,-75.833,55.98,27,0,6.91,clear sky
256,Kaitangata,NZ,2022-04-30 23:21:02,-46.2817,169.8464,57.81,71,100,2.53,moderate rain
257,Katangli,RU,2022-04-30 23:21:02,51.7102,143.2326,31.77,100,100,3.94,light snow
258,Luderitz,NA,2022-04-30 23:21:02,-26.6481,15.1594,62.13,44,0,10.63,clear sky
259,Lavrentiya,RU,2022-04-30 23:21:03,65.5833,-171.0,28.44,81,99,12.44,overcast clouds
